,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
20.0,3S0OXQeoh0w6AY8WQVckRW,Jason Mraz,We Sing. We Dance. We Steal Things.,I'm Yours,75.0,242946.0,False,0.703,0.444,11.0,-9.331,1.0,0.0417,0.559,0.0,0.0973,0.712,150.96,4.0,acoustic
21.0,210JCw2LbYD4YIs8GiZ9iP,Boyce Avenue;Jennel Garcia,"Cover Sessions, Vol. 3",Demons,63.0,174174.0,False,0.678,0.351,0.0,-8.654,1.0,0.0266,0.747,0.0,0.355,0.569,90.032,4.0,acoustic
22.0,5TvE3pk05pyFIGdSY9j4DJ,A Great Big World;Christina Aguilera,Is There Anybody Out There? - Track by Track Commentary,Say Something,70.0,229400.0,False,0.407,0.147,2.0,-8.822,1.0,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284,3.0,acoustic
51.0,3ILmwMefYZoQh5Cf5jeuUQ,Motohiro Hata,Documentary,透明だった世界,61.0,232360.0,False,0.373,0.914,0.0,-4.185,1.0,0.0565,0.076,0.0,0.669,0.56,168.21,4.0,acoustic
52.0,2DHDuADAHoUW6n0z80RLQF,Andrew Belle,Black Bear,Pieces,60.0,241119.0,False,0.494,0.652,6.0,-5.863,0.0,0.0314,0.0754,0.00256,0.125,0.298,137.018,4.0,acoustic
53.0,5JDcQAztvZTIkrWoZihgvC,Ron Pope,The Bedroom Demos,A Drop in the Ocean,68.0,220239.0,False,0.447,0.393,5.0,-8.65,1.0,0.038,0.785,0.0,0.28,0.564,73.139,3.0,acoustic
55.0,6xJOhSm4SvZwzy3uhWz26O,Andrew Belle,Black Bear,The Enemy,62.0,286865.0,False,0.536,0.89,1.0,-5.222,1.0,0.0375,0.078,0.0202,0.131,0.273,121.974,4.0,acoustic
58.0,4oa14QBfWRDfJy2agySy0L,Sara Bareilles,Little Voice,Gravity,67.0,232760.0,False,0.27,0.275,0.0,-10.357,1.0,0.0356,0.834,0.0,0.146,0.231,168.964,4.0,acoustic
60.0,08MFgEQeVLF37EyZ7jcwLc,Zack Tabudlo,Pano,Pano,75.0,254400.0,False,0.375,0.457,3.0,-7.018,1.0,0.0315,0.868,0.0145,0.191,0.415,174.839,3.0,acoustic
61.0,6nXIYClvJAfi6ujLiKqEq8,Andrew Belle,The Daylight EP,Sky's Still Blue,62.0,244320.0,False,0.43,0.791,6.0,-5.419,0.0,0.0302,0.0726,0.0193,0.11,0.217,171.864,4.0,acoustic
62.0,7x4b0UccXSKBWxWmjcrG2T,Kurt Cobain,Montage Of Heck: The Home Recordings,And I Love Her,66.0,124933.0,False,0.616,0.282,1.0,-15.317,1.0,0.0331,0.983,0.833,0.13,0.435,96.638,4.0,acoustic
63.0,6owKuyHxUqidcAA6fPKSyy,Boyce Avenue;Bea Miller,"Cover Sessions, Vol. 3",We Can't Stop,64.0,222146.0,False,0.705,0.347,2.0,-8.249,1.0,0.0301,0.674,0.0,0.12,0.36,80.057,4.0,acoustic
64.0,0wbmIfvndFV9VDvuUY1pYN,Tim Halperin,Covers,Always Be My Baby,62.0,181852.0,False,0.582,0.255,4.0,-10.254,1.0,0.0306,0.772,0.0,0.0889,0.285,139.884,4.0,acoustic
66.0,6VwAh8Z1d5YKoSWoEaV4db,Aaron Espe,Making All Things New,Making All Things New,65.0,159600.0,False,0.787,0.355,0.0,-11.429,1.0,0.0288,0.896,0.0201,0.111,0.48,99.978,4.0,acoustic
67.0,2D4BSm5Z8Hq5zYbSgJwEOh,Sara Bareilles,What's Inside: Songs from Waitress,She Used To Be Mine,67.0,250266.0,False,0.397,0.303,5.0,-7.508,1.0,0.0435,0.381,0.0,0.101,0.172,81.05,4.0,acoustic
68.0,7LwGBxB0h0CVmkOZxYKn0g,Andrew Belle,In My Veins (Feat. Erin Mccarley),In My Veins - Feat. Erin Mccarley,65.0,318908.0,False,0.548,0.42,0.0,-7.842,1.0,0.0277,0.198,4.46e-06,0.0899,0.196,128.012,4.0,acoustic
71.0,3TwtrR1yNLY1PMPsrGQpOp,Five For Fighting,America Town,Superman (It's Not Easy),70.0,221693.0,False,0.382,0.416,0.0,-9.303,1.0,0.0302,0.0733,0.0,0.0719,0.125,102.089,4.0,acoustic
75.0,38jy6kRlPt8z1GUS9WXeNh,Jason Mraz,Love Is a Four Letter Word,93 Million Miles,67.0,216386.0,False,0.572,0.454,3.0,-10.286,1.0,0.0258,0.477,1.37e-05,0.0974,0.515,140.182,4.0,acoustic
76.0,2SkJKMfjpYsNv0KWOxiegX,A Great Big World,When the Morning Comes,Kaleidoscope,62.0,229320.0,False,0.709,0.913,7.0,-5.148,1.0,0.0748,0.0182,0.0,0.167,0.519,108.024,4.0,acoustic
78.0,11TK5KLtLZUdKr1C549bAw,Drew Holcomb & The Neighbors,Good Light,What Would I Do Without You,64.0,172213.0,False,0.602,0.336,8.0,-11.106,1.0,0.0369,0.883,0.0017,0.143,0.335,90.894,4.0,acoustic
79.0,7BXW1QCg56yzEBV8pW8pah,Jason Mraz,Know.,Have It All,65.0,226106.0,False,0.643,0.638,1.0,-4.947,0.0,0.0407,0.204,0.0,0.0707,0.6,82.001,4.0,acoustic
82.0,3bHhUEOTIbezeZ856R0BX5,Eddie Vedder,Into The Wild (Music For The Motion Picture),Society,68.0,236306.0,False,0.561,0.327,11.0,-10.835,0.0,0.0327,0.902,0.000469,0.111,0.298,161.858,4.0,acoustic
85.0,4LGF2tDg3878bs0mQPByZ4,Eddie Vedder,Into The Wild (Music For The Motion Picture),Guaranteed,61.0,164500.0,False,0.436,0.4,7.0,-11.485,1.0,0.0272,0.904,0.00105,0.125,0.351,100.734,4.0,acoustic
86.0,6Uy6K3KdmUdAfelUp0SeXn,Sara Bareilles,The Blessed Unrest,Brave,70.0,220573.0,False,0.551,0.836,10.0,-3.838,0.0,0.0524,0.00502,2.1e-05,0.0425,0.758,185.063,4.0,acoustic
89.0,0qJGlogD7AyMLAJfQ42aI2,Five For Fighting,Bookmarks,Heaven Knows,62.0,210612.0,False,0.6,0.845,10.0,-7.076,1.0,0.0311,0.048,0.0,0.24,0.392,97.631,4.0,acoustic
104.0,068qo0w1Ki0cjnFYOUhAm2,Boyce Avenue,Stand by Me,Stand by Me,60.0,199019.0,False,0.728,0.266,8.0,-7.322,1.0,0.0293,0.872,1.03e-05,0.114,0.307,115.189,4.0,acoustic
105.0,2RFt6ZWQbr9mPhsft9u9eX,Gabrielle Aplin;JP Cooper,Dear Happy,Losing Me,61.0,181760.0,False,0.66,0.407,7.0,-8.381,1.0,0.0571,0.236,0.0,0.109,0.257,133.86,4.0,acoustic
113.0,2WZyfujzMweFLnozyUJBkW,Augustana,All The Stars and Boulevards,Boston,63.0,245933.0,False,0.404,0.571,0.0,-5.069,1.0,0.0303,0.182,2.08e-05,0.129,0.29,147.01,4.0,acoustic
115.0,5pq4v03P5PxMcnCagg4S3Z,Boyce Avenue,"Cover Sessions, Vol. 4",In Case You Didn’t Know,60.0,225165.0,False,0.633,0.299,11.0,-7.798,1.0,0.0353,0.833,0.0,0.109,0.341,147.549,4.0,acoustic
117.0,65VhbQdqvozUntjnlFkFbZ,Kina Grannis,You Are My Sunshine,You Are My Sunshine,60.0,123609.0,False,0.664,0.0755,10.0,-19.836,1.0,0.0389,0.91,0.0,0.164,0.575,80.004,1.0,acoustic
118.0,05pKAafT85jeeNhZ6kq7HT,Jason Mraz,I Won't Give Up,I Won't Give Up,66.0,240165.0,False,0.585,0.303,4.0,-10.058,1.0,0.0398,0.694,0.0,0.115,0.142,136.703,3.0,acoustic
119.0,3PG6V5yuFfo4APiovOQoRv,Ray LaMontagne;Sierra Ferrell,I Was Born To Love You,I Was Born To Love You,67.0,265843.0,False,0.65,0.271,9.0,-11.081,1.0,0.0314,0.794,6.9e-05,0.196,0.21,78.036,4.0,acoustic
122.0,7BRCa8MPiyuvr2VU3O9W0F,Joshua Hyslop,Where The Mountain Meets The Valley,Do Not Let Me Go,60.0,158960.0,False,0.409,0.234,3.0,-13.711,1.0,0.0323,0.338,5e-05,0.0895,0.145,139.832,4.0,acoustic
126.0,5rwq6R0Uq0BngM3rdmCeNg,Howie Day,Stop All the World Now (Special Edition),Collide - Acoustic Version,67.0,277000.0,False,0.582,0.253,10.0,-11.43,1.0,0.0259,0.827,2.95e-05,0.091,0.294,90.186,4.0,acoustic
127.0,2lxBZVbkiCXC1soks2RXwV,Ben Rector,Magic,Love Like This,61.0,214240.0,False,0.637,0.14,2.0,-11.472,1.0,0.0407,0.903,0.0,0.107,0.392,139.78,4.0,acoustic
128.0,38YgZVHPWOWsKrsCXz6JyP,Matt Nathanson,Some Mad Hope,Come On Get Higher,71.0,215173.0,False,0.672,0.623,9.0,-5.699,1.0,0.0297,0.241,0.0,0.0848,0.617,92.018,4.0,acoustic
130.0,72R0X0h8YaxYNpegeoOl0M,Parachute,The Way It Was,Kiss Me Slowly,61.0,235813.0,False,0.47,0.801,9.0,-6.426,1.0,0.0352,0.0758,3.53e-05,0.218,0.431,173.92,4.0,acoustic
131.0,6R6ux6KaKrhAg2EIB2krdU,Parachute,Wide Awake,Without You,61.0,228933.0,False,0.564,0.864,4.0,-5.121,1.0,0.0341,0.0761,0.0,0.182,0.534,95.984,4.0,acoustic
135.0,4lxGVzcUaSF5HW5jtWnShV,Eddie Vedder,Into The Wild (Music For The Motion Picture),Long Nights,60.0,151773.0,False,0.478,0.305,5.0,-13.062,1.0,0.0306,0.675,0.00139,0.169,0.0974,108.66,4.0,acoustic
137.0,5p9XWUdvbUzmPCukOmwoU3,KT Tunstall,Eye To The Telescope,Suddenly I See,73.0,201706.0,False,0.587,0.767,0.0,-5.713,1.0,0.0449,0.225,0.0,0.112,0.664,100.38,4.0,acoustic
149.0,0fzCtVM9D5UEwiLqcY8Ouq,Eddie Vedder,Into The Wild (Music For The Motion Picture),Hard Sun,65.0,322080.0,False,0.438,0.827,8.0,-6.531,1.0,0.0328,0.0512,0.000402,0.319,0.645,143.377,4.0,acoustic
157.0,2lFlveK1y13WWp3vnQtrr3,Five For Fighting,The Battle for Everything,100 Years,66.0,244600.0,False,0.643,0.569,7.0,-7.459,1.0,0.0276,0.544,2.17e-05,0.178,0.275,120.507,4.0,acoustic
162.0,03yc0G2OoH1Eeyu7Piy8fK,Jason Mraz,I'm Yours,I'm Yours,60.0,243494.0,False,0.693,0.43,11.0,-9.395,1.0,0.0442,0.565,0.0,0.0928,0.731,151.001,4.0,acoustic
169.0,4E6cwWJWZw2zWf7VFbH7wf,Sara Bareilles,Little Voice,Love Song,73.0,258826.0,False,0.583,0.786,2.0,-3.142,0.0,0.0301,0.0208,0.0,0.188,0.573,123.055,4.0,acoustic
175.0,1EyvonxK8OGHRV4WDRdArc,Boyce Avenue;Connie Talbot,Can You Feel the Love Tonight,Can You Feel the Love Tonight,63.0,250916.0,False,0.452,0.198,10.0,-9.374,1.0,0.0335,0.931,2.24e-06,0.1,0.217,119.499,4.0,acoustic
176.0,0EKBV6GybPtALXUgWqWrym,Brandi Carlile,The Story,The Story,66.0,238493.0,False,0.544,0.5,11.0,-8.253,1.0,0.026,0.0325,3.78e-06,0.109,0.177,93.621,4.0,acoustic
178.0,5oV8bZaShr2d01FFMHBUPq,Kina Grannis,Iris,Iris,62.0,181136.0,False,0.497,0.13,6.0,-15.571,1.0,0.0436,0.841,0.0,0.111,0.179,130.769,3.0,acoustic
180.0,04qDUASuSfVp6fktfsxVej,Caleb Santos;Viva Music Publishing Inc.,I Need You More Today,I Need You More Today,68.0,233728.0,False,0.461,0.522,11.0,-7.513,1.0,0.043,0.36,0.0,0.123,0.446,157.768,4.0,acoustic
181.0,3g61xRaqII8q1wlQDzv550,Boyce Avenue,"Cover Sessions, Vol. 4",Beautiful Soul,62.0,216612.0,False,0.483,0.506,9.0,-6.058,1.0,0.0347,0.394,0.0,0.0946,0.705,87.337,4.0,acoustic
189.0,12niARgkwxGsklcEwh6GlG,Donovan Woods,"Hard Settle, Ain't Troubled","Portland, Maine",66.0,203869.0,False,0.606,0.349,4.0,-13.967,1.0,0.0319,0.764,0.306,0.112,0.156,80.071,4.0,acoustic
191.0,5wQci5VCUjdbKnRD61XYwu,Joshua Hyslop,In Deepest Blue (Bonus Track Version),The Flood,60.0,261640.0,False,0.577,0.446,6.0,-11.343,1.0,0.0313,0.554,0.0782,0.116,0.262,81.005,4.0,acoustic
193.0,4VoJCUgNmnqG2qF0peDBkw,Stephen Speaks,No More Doubt,Out of My League,67.0,218800.0,False,0.538,0.315,0.0,-10.057,1.0,0.0291,0.96,0.00596,0.0979,0.4,91.921,3.0,acoustic
195.0,1bhpBRCLsVg3p7BWARbaDS,Eddie Vedder,Into The Wild (Music For The Motion Picture),Rise,60.0,156453.0,False,0.401,0.58,7.0,-6.86,1.0,0.0541,0.906,0.217,0.134,0.526,173.277,3.0,acoustic
196.0,6NSlOEEtWlqvEFrjQsry77,The Weepies;Deb Talan;Steve Tannen,Say I Am You,World Spins Madly On,64.0,165133.0,False,0.502,0.311,1.0,-13.421,1.0,0.0285,0.617,4.32e-05,0.129,0.4,107.612,4.0,acoustic
200.0,45jGOHwYKgsRYbAJ8DR61d,Motohiro Hata,青の光景,ひまわりの約束,61.0,308146.0,False,0.523,0.445,10.0,-6.359,1.0,0.0329,0.188,0.0,0.18,0.336,78.957,4.0,acoustic
207.0,2X5AFygz5SDYlXagyPw8kX,Zack Tabudlo,Binibini,Binibini,67.0,221538.0,False,0.642,0.374,5.0,-10.606,1.0,0.032,0.423,1.54e-06,0.435,0.0979,129.863,4.0,acoustic
212.0,6dwkFmLUz6hx2CZG2EqLol,Howie Day,Stop All The World Now,Collide,66.0,249120.0,False,0.636,0.625,11.0,-7.895,1.0,0.0277,0.222,5.35e-05,0.119,0.342,93.931,4.0,acoustic
213.0,7aohwSiTDju51QmC54AUba,Ingrid Michaelson,Be OK,You And I,63.0,148400.0,False,0.698,0.285,0.0,-7.632,1.0,0.0553,0.927,0.0,0.0883,0.53,135.027,4.0,acoustic
216.0,5auMzVHFr5Zfw6IbKarZ56,Anna Nalick,Wreck of the Day,Breathe (2 AM),65.0,279826.0,False,0.386,0.452,2.0,-7.715,1.0,0.0278,0.417,0.0,0.0881,0.287,169.837,3.0,acoustic
217.0,63bmIgH9sS6sX5Sc7MetGq,Zack Tabudlo,Episode,Habang Buhay,69.0,244067.0,False,0.62,0.668,9.0,-5.719,1.0,0.0305,0.088,0.0,0.362,0.183,118.013,4.0,acoustic
222.0,1dcNEEtODRVZEevQ20Cgmy,Zack Tabudlo,Nangangamba,Nangangamba,70.0,210354.0,False,0.62,0.547,1.0,-6.772,1.0,0.0248,0.112,0.0,0.19,0.208,98.032,4.0,acoustic
223.0,6huS9u0BDfeQHq0lObNLPl,Us The Duo,Better Together,Better Together,64.0,200706.0,False,0.761,0.311,5.0,-10.597,1.0,0.0692,0.647,0.0,0.15,0.553,109.891,4.0,acoustic
232.0,0J4sK2VO75cRSVoj0FokQn,Canyon City,Refuge,Fix You,60.0,261665.0,False,0.522,0.152,2.0,-14.996,1.0,0.0303,0.788,2.37e-05,0.148,0.133,144.055,4.0,acoustic
234.0,1U1GtaJeYwGsPgqV9Me5bb,Ray LaMontagne,Trouble,Hold You in My Arms,62.0,306200.0,False,0.504,0.321,7.0,-13.807,1.0,0.0316,0.149,0.000107,0.147,0.577,170.134,3.0,acoustic
236.0,2EKxmYmUdAVXlaHCnnW13o,Boyce Avenue;Megan Nicole,"Cover Sessions, Vol. 2",Heaven,61.0,250063.0,False,0.619,0.28,8.0,-10.238,0.0,0.0317,0.73,0.0,0.103,0.292,129.948,4.0,acoustic
238.0,7K36drJq6lInkW6Kkojucp,Drew Holcomb & The Neighbors,Medicine,American Beauty,63.0,158013.0,False,0.645,0.169,9.0,-15.744,1.0,0.0317,0.844,0.00019,0.109,0.178,167.826,4.0,acoustic
239.0,4PuUa8e5s7P3Zv1IdCGIsa,Ray LaMontagne,Part Of The Light,Such A Simple Thing,65.0,296386.0,False,0.522,0.256,10.0,-11.216,1.0,0.0258,0.86,0.000806,0.142,0.13,76.349,4.0,acoustic
240.0,72SPsHheqN6J3sI520jT9E,Amos Lee,Amos Lee,Colors,64.0,160453.0,False,0.681,0.168,7.0,-13.397,1.0,0.0291,0.793,0.000134,0.109,0.29,128.615,4.0,acoustic
244.0,7jJH8F3PHlNvxfqEAAfFDl,Sara Bareilles,The Blessed Unrest,I Choose You,63.0,218573.0,False,0.731,0.572,6.0,-7.889,0.0,0.0445,0.105,0.00012,0.133,0.947,154.038,4.0,acoustic
258.0,5MYPzdIWgx3pMLRGlq2fVq,Zack Tabudlo,Asan Ka Na Ba,Asan Ka Na Ba,73.0,241132.0,False,0.676,0.768,5.0,-5.695,0.0,0.0294,0.149,0.00147,0.345,0.493,105.999,4.0,acoustic
285.0,5sdliaZjk3rVGuT13UVhxn,Joshua Hyslop,Echos,Long Way Down,60.0,257972.0,False,0.711,0.231,2.0,-13.033,1.0,0.0346,0.832,0.00115,0.105,0.186,125.062,4.0,acoustic
286.0,2Dz5WpEWA0vhnMmEPYiZ2y,Parachute,Losing Sleep,She Is Love,60.0,146066.0,False,0.629,0.174,6.0,-9.697,1.0,0.141,0.616,0.0,0.118,0.305,134.295,1.0,acoustic
288.0,1FHCU1rDAeaPsBW9byjJ0Q,krissy & ericka,Twelve: Fifty One (International Version),12:51,64.0,246280.0,False,0.503,0.357,3.0,-9.36,1.0,0.0272,0.727,0.0,0.128,0.438,136.135,4.0,acoustic
291.0,07m8PuXxxv5J4qPEDq6ZkK,Ben Rector,Brand New,Brand New,65.0,243933.0,False,0.555,0.934,9.0,-5.04,1.0,0.113,0.00268,0.0,0.122,0.422,144.874,4.0,acoustic
295.0,2fSIF8CJhoc9CJhF9vJDXp,Ray LaMontagne,Trouble,Jolene,64.0,250866.0,False,0.588,0.142,7.0,-15.196,1.0,0.0329,0.863,0.000162,0.0953,0.288,119.656,4.0,acoustic
297.0,5sVyefkGgQeYCgnqr4KslQ,Joy Williams,Front Porch,Front Porch,64.0,231813.0,False,0.567,0.224,1.0,-10.024,1.0,0.0299,0.887,0.0,0.109,0.2,124.44,4.0,acoustic
328.0,7vu53hQrIoH7UGeh6qcct1,Zack Tabudlo,As You Are,As You Are,60.0,183969.0,False,0.715,0.438,10.0,-6.147,0.0,0.0373,0.353,1.75e-06,0.108,0.447,81.07,4.0,acoustic
329.0,55RMhrPQYA6vLu5YMgXxFD,Zack Tabudlo,Episode,Binibini,65.0,221538.0,False,0.642,0.374,5.0,-10.606,1.0,0.032,0.423,1.54e-06,0.435,0.0979,129.863,4.0,acoustic
338.0,5X3w2MfxgMTZkn2mTPQs0u,Joshua Hyslop,Echos,Stand Your Ground,62.0,203253.0,False,0.71,0.271,7.0,-9.541,1.0,0.0283,0.658,4.59e-06,0.115,0.686,131.88,4.0,acoustic
371.0,5ZpSUdy5wL5Hvwsqz6JCAt,Stephen Speaks,Passenger Seat,Passenger Seat,65.0,274245.0,False,0.515,0.769,7.0,-5.696,1.0,0.031,0.0456,0.00436,0.0961,0.644,153.046,4.0,acoustic
372.0,3mDvi0k4LuCA7ViLf3Qb3O,Matt White,Best Days,Love,60.0,170040.0,False,0.759,0.684,0.0,-5.751,1.0,0.0315,0.269,0.0,0.13,0.759,107.948,4.0,acoustic
384.0,63wsZUhUZLlh1OsyrZq7sz,Boyce Avenue;Kina Grannis,"Cover Sessions, Vol. 2",Fast Car,61.0,304293.0,False,0.392,0.251,10.0,-9.845,1.0,0.0363,0.807,0.0,0.0797,0.508,204.961,4.0,acoustic
395.0,0HL3y3bsKSARBSP0qaImwb,Brandi Carlile,Onward (Original Motion Picture Soundtrack),Carried Me With You,62.0,213732.0,False,0.639,0.666,0.0,-7.775,1.0,0.0636,0.271,0.0,0.111,0.372,98.384,4.0,acoustic
438.0,73Nw51XTNstlk3Wu1K26cB,Stephen Speaks,No More Doubt,Passenger Seat (Acoustic),63.0,273066.0,False,0.549,0.437,7.0,-8.64,1.0,0.0313,0.682,1.59e-05,0.224,0.688,153.604,4.0,acoustic
443.0,5ZUObJNpVt2l9GogUSfALc,Joy Williams,Front Porch,The Trouble with Wanting,60.0,235586.0,False,0.396,0.198,2.0,-9.096,1.0,0.031,0.912,0.0,0.0972,0.19,138.624,3.0,acoustic
444.0,1jyddn36UN4tVsJGtaJfem,Ray LaMontagne,Gossip In The Grain,You Are the Best Thing,67.0,231840.0,False,0.578,0.727,10.0,-4.872,1.0,0.0332,0.0304,1.99e-05,0.172,0.885,170.593,4.0,acoustic
472.0,3KAQ4xe2sR6IiltZw8HSA5,Austin Basham,You and Me for Now,All Is Well,60.0,256680.0,False,0.316,0.413,11.0,-12.216,1.0,0.0334,0.856,0.00245,0.143,0.245,155.69,4.0,acoustic
475.0,1CYBnHYYbOAsuDCGa0zrw0,Drew Holcomb & The Neighbors,Without a Light,Without a Light,60.0,142200.0,False,0.493,0.435,7.0,-12.334,1.0,0.0423,0.656,0.000327,0.118,0.485,87.952,4.0,acoustic
477.0,37bc0lXXN8Udi7IPwL58Hn,Boyce Avenue;Megan Davies;Jaclyn Davies,"Cover Sessions, Vol. 4",Time After Time,60.0,222250.0,False,0.313,0.321,8.0,-8.713,1.0,0.0352,0.746,0.0,0.0948,0.243,53.845,4.0,acoustic
484.0,2HUZVffVPXvqnrml0gXggp,Howlin' Wolf,Moanin' In The Moonlight,Smokestack Lightnin',62.0,188400.0,False,0.661,0.342,9.0,-16.361,0.0,0.043,0.844,0.000128,0.26,0.588,146.118,4.0,acoustic
485.0,2PTzfXh5Ut3hjRrWGyafz6,Stephen Speaks,No More Doubt,Passenger Seat,64.0,274480.0,False,0.523,0.554,7.0,-7.596,1.0,0.0303,0.749,3.29e-06,0.323,0.769,152.979,4.0,acoustic
488.0,7jIAttgQTpLDoNtykIQXjH,Violent Femmes,Violent Femmes,Blister In The Sun,71.0,145706.0,False,0.726,0.537,0.0,-8.896,1.0,0.114,0.316,0.0,0.0707,0.882,96.889,4.0,acoustic
498.0,61X73CJcpwGIxgQgKEXbw0,Brandi Carlile;Lucius,In These Silent Days,You and Me On The Rock (feat. Lucius),63.0,230098.0,False,0.568,0.686,1.0,-6.635,1.0,0.033,0.15,1.81e-06,0.0881,0.725,172.075,4.0,acoustic
506.0,1i7JnFAxC15AuF1dsosbYM,Zack Tabudlo,Pero,Pero,65.0,256648.0,False,0.644,0.412,5.0,-9.14,0.0,0.0307,0.796,0.127,0.0906,0.206,118.49,4.0,acoustic
511.0,0zANeX4R6uWb82gCQAguOD,Zack Tabudlo,Habang Buhay,Habang Buhay,69.0,244067.0,False,0.62,0.668,9.0,-5.719,1.0,0.0305,0.088,0.0,0.362,0.183,118.013,4.0,acoustic
528.0,4tK4ARuilOrBzwVQK73E0Y,Jason Mraz,Waiting for My Rocket to Come,The Remedy (I Won't Worry),60.0,256440.0,False,0.589,0.867,10.0,-4.523,1.0,0.0385,0.041,0.0,0.306,0.795,94.52,4.0,acoustic
534.0,3XnDbrxxtA40HPIIRWLgRT,Penny and Sparrow,Finch,Eloise,61.0,168712.0,False,0.606,0.415,7.0,-8.317,0.0,0.0475,0.695,0.00149,0.174,0.405,137.775,4.0,acoustic
535.0,5bC6ONDsL88snGN6QasjZH,Sonny Boy Williamson II,More Real Folk Blues,Help Me,60.0,188200.0,False,0.745,0.436,5.0,-9.617,0.0,0.043,0.597,0.0213,0.61,0.771,114.216,4.0,acoustic
588.0,0c7iF5fSBYxCuwsAv2z4iI,Trevor Hall,Chapter Of The Forest,Green Mountain State,61.0,274632.0,False,0.693,0.367,3.0,-11.66,1.0,0.0323,0.351,2.9e-05,0.111,0.286,129.879,4.0,acoustic
637.0,18k8IlS52uxRWObykDUZFG,Brandi Carlile,"By The Way, I Forgive You",The Joke,60.0,279373.0,False,0.236,0.578,7.0,-5.477,1.0,0.0404,0.327,0.00015,0.206,0.227,75.367,4.0,acoustic
679.0,0qAMjeQFyd1qD0LDiV8gWp,KT Tunstall,Eye To The Telescope,Black Horse And The Cherry Tree,67.0,172373.0,False,0.748,0.786,4.0,-7.788,0.0,0.0641,0.328,0.0,0.34,0.917,104.833,4.0,acoustic
711.0,3YllcvA3PW1DUwjckCVjIw,Ray LaMontagne,MONOVISION,I Was Born To Love You,60.0,251933.0,False,0.659,0.236,9.0,-12.56,1.0,0.0304,0.84,6.32e-05,0.206,0.216,78.088,4.0,acoustic
750.0,0N8Xztr4pBHJ7V0moJWhbO,Aimyon,青春のエキサイトメント,愛を伝えたいだとか,65.0,235240.0,False,0.673,0.85,2.0,-5.021,1.0,0.0337,0.0345,1.14e-05,0.0943,0.793,100.008,4.0,acoustic
