artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
Bring Me The Horizon,That's The Spirit,Blasphemy,60.0,275013.0,False,0.409,0.859,10.0,-4.098,0.0,0.0367,0.000123,0.0,0.369,0.473,154.023,4.0,metalcore
Michael Jackson,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",Earth Song,65.0,406040.0,False,0.501,0.439,3.0,-7.521,0.0,0.0313,0.482,0.000117,0.087,0.145,138.377,4.0,soul
Vaundy,CHAINSAW BLOOD,CHAINSAW BLOOD,74.0,200997.0,False,0.528,0.855,0.0,-5.229,1.0,0.0953,7.38e-05,1.81e-06,0.281,0.549,146.987,4.0,j-pop
James Hype;Miggy Dela Rosa;Oliver Heldens,Ferrari (Oliver Heldens Remix),Ferrari - Oliver Heldens Remix,68.0,188640.0,False,0.73,0.903,1.0,-5.64,0.0,0.0427,0.00806,0.252,0.0998,0.694,124.957,4.0,deep-house
Melanie Martinez,K-12,Teacher's Pet,76.0,241893.0,True,0.686,0.794,7.0,-6.136,0.0,0.0385,0.27,2.25e-05,0.125,0.532,140.952,3.0,electro
Chopade,Inner Journey,Inner Journey,60.0,222522.0,False,0.187,0.0549,9.0,-29.833,0.0,0.0472,0.986,0.958,0.0833,0.0386,71.308,3.0,sleep
Amaranthe,MASSIVE ADDICTIVE,Digital World,60.0,197666.0,False,0.523,0.948,11.0,-4.627,0.0,0.12,0.000114,0.053,0.544,0.567,150.025,4.0,goth
Owl City;Carly Rae Jepsen,The Midsummer Station,Good Time,78.0,205933.0,False,0.56,0.872,3.0,-4.269,1.0,0.14,0.0239,6.98e-06,0.371,0.682,126.05,4.0,indie-pop
Jonathan Groff,Hamilton (Original Broadway Cast Recording),I Know Him,61.0,97979.0,False,0.67,0.436,0.0,-8.636,1.0,0.364,0.649,0.0,0.722,0.378,121.581,4.0,show-tunes
須田景凪,porte,veil,63.0,209636.0,False,0.559,0.873,0.0,-4.401,0.0,0.0543,0.0281,0.0,0.185,0.797,150.055,4.0,j-pop
Calvin Harris;Ellie Goulding,18 Months,I Need Your Love (feat. Ellie Goulding),71.0,234506.0,False,0.695,0.869,8.0,-5.066,1.0,0.0483,0.41,0.0,0.237,0.58,124.989,4.0,electro
Badshah;Neha Kakkar;Varun Dhawan,"Garmi (From ""Street Dancer 3D"")","Garmi (From ""Street Dancer 3D"") (feat. Varun Dhawan)",67.0,182738.0,False,0.788,0.87,9.0,-5.217,1.0,0.177,0.123,1.43e-05,0.0692,0.884,109.974,4.0,hip-hop
Bazzi,COSMIC,Myself,68.0,167552.0,False,0.745,0.561,9.0,-5.513,0.0,0.072,0.465,1.12e-06,0.0338,0.902,195.918,4.0,electro
Martin Landström,Maze of Tranquility,Maze of Tranquility,63.0,262707.0,False,0.488,0.134,7.0,-17.904,1.0,0.0327,0.76,0.219,0.0826,0.0507,112.892,4.0,jazz
Bad Bunny,YHLQMDLG,La Zona,79.0,136892.0,True,0.762,0.801,1.0,-3.661,0.0,0.0409,0.2,7.04e-05,0.254,0.81,93.992,4.0,latino
Mabel,High Expectations,Mad Love,66.0,169813.0,False,0.623,0.796,0.0,-2.981,0.0,0.199,0.659,0.0,0.115,0.607,197.524,4.0,edm
AC/DC,Back In Black,Hells Bells,74.0,312293.0,False,0.389,0.873,4.0,-4.768,0.0,0.0475,0.00532,0.0055,0.273,0.303,106.767,4.0,hard-rock
Bad Bunny;Tainy,Un Verano Sin Ti,Callaita,81.0,250533.0,False,0.608,0.626,2.0,-4.773,1.0,0.301,0.597,2.16e-06,0.25,0.246,176.086,4.0,latino
Hozier,Hozier,Work Song,63.0,229715.0,False,0.432,0.388,10.0,-7.687,1.0,0.1,0.776,0.0,0.112,0.256,177.549,3.0,singer-songwriter
Elton John,Elton John,Your Song,79.0,241786.0,False,0.554,0.315,3.0,-11.028,1.0,0.0298,0.828,5.53e-06,0.101,0.325,128.157,4.0,piano
Bazzi,Infinite Dream,I Like That,69.0,158083.0,True,0.665,0.692,6.0,-5.431,0.0,0.112,0.172,0.0,0.191,0.68,74.474,4.0,electro
"Crosby, Stills & Nash","Crosby, Stills & Nash",Suite: Judy Blue Eyes - 2005 Remaster,61.0,444053.0,False,0.458,0.364,9.0,-13.126,1.0,0.0431,0.467,0.0,0.197,0.3,154.215,4.0,psych-rock
Sarah Meow;Shiloh,Safe.,I Know You so Well,60.0,119089.0,False,0.771,0.0995,0.0,-11.712,0.0,0.104,0.896,0.355,0.112,0.397,122.909,4.0,chill
Sayulita,Amado Nervo,Amado Nervo,62.0,189065.0,False,0.0985,0.0341,10.0,-28.071,0.0,0.0435,0.93,0.851,0.108,0.0815,74.016,4.0,sleep
BADBADNOTGOOD;Samuel T. Herring,IV,Time Moves Slow,71.0,273864.0,False,0.591,0.376,11.0,-10.832,0.0,0.0543,0.478,0.0282,0.101,0.308,140.026,4.0,jazz
The Lovin' Spoonful,Do you Believe In Magic,Do You Believe in Magic?,70.0,125826.0,False,0.553,0.738,0.0,-7.963,1.0,0.0457,0.213,0.0,0.339,0.759,138.602,4.0,psych-rock
Redman,Whut? Thee Album,Tonight's Da Night,63.0,201373.0,True,0.697,0.687,6.0,-11.111,1.0,0.379,0.26,4.8e-05,0.403,0.866,90.247,4.0,hardcore
Mankirt Aulakh,Judge,Judge,63.0,181394.0,False,0.66,0.721,11.0,-5.907,1.0,0.505,0.221,0.0,0.173,0.61,181.842,4.0,pop
Lykke Li,so sad so sexy,sex money feelings die,74.0,139840.0,True,0.789,0.534,8.0,-6.347,0.0,0.0709,0.323,3.42e-06,0.0645,0.631,134.055,4.0,electro
Nena Daconte,He Perdido Los Zapatos,En Que Estrella Estara,60.0,140666.0,False,0.73,0.378,5.0,-7.441,1.0,0.183,0.279,1.67e-05,0.0869,0.697,170.044,4.0,spanish
The Dresden Dolls,"Yes, Virginia",My Alcoholic Friends,72.0,167680.0,False,0.596,0.679,4.0,-3.881,0.0,0.0324,0.18,0.0,0.0938,0.746,110.464,4.0,piano
Michael Bublé,I'll Never Not Love You,I'll Never Not Love You,60.0,218390.0,False,0.492,0.791,11.0,-5.045,1.0,0.0703,0.00816,1.87e-05,0.11,0.585,144.363,4.0,j-pop
Crystal Castles;Robert Smith,(II),Not In Love - Radio Version,61.0,226986.0,False,0.477,0.98,7.0,-4.204,0.0,0.0887,0.000834,0.00963,0.357,0.199,135.902,4.0,hardcore
The Notorious B.I.G.,Life After Death (2014 Remastered Edition),Ten Crack Commandments - 2014 Remaster,64.0,204026.0,True,0.612,0.85,1.0,-4.703,1.0,0.5,0.0393,0.0,0.255,0.781,173.497,4.0,hardcore
Pearl Jam,Yield,Given to Fly,60.0,238866.0,False,0.317,0.764,7.0,-7.076,1.0,0.0282,0.000294,0.099,0.0996,0.341,101.173,4.0,grunge
sammy rash,lead me on,lead me on,62.0,127802.0,False,0.787,0.478,5.0,-8.761,0.0,0.092,0.566,0.0,0.147,0.649,79.029,4.0,sad
Sukhbir;Ikka,Hindi Medium,Oh Ho Ho Ho (Remix),60.0,244416.0,False,0.676,0.935,5.0,-3.499,0.0,0.0892,0.00917,0.0,0.097,0.802,144.944,4.0,hip-hop
Clara Mae,Not Sad Anymore,Not Sad Anymore,65.0,195563.0,False,0.675,0.523,1.0,-7.598,1.0,0.0444,0.761,3.17e-06,0.109,0.376,94.025,4.0,electro
Chino & Nacho;Daddy Yankee,Andas En Mi Cabeza,Andas En Mi Cabeza,74.0,247493.0,False,0.671,0.954,9.0,-1.87,1.0,0.13,0.0244,0.0,0.111,0.556,104.114,4.0,latino
Empire of the Sun,Walking On A Dream (10th Anniversary Edition),Walking On A Dream,79.0,198440.0,False,0.871,0.701,5.0,-5.594,0.0,0.0458,0.257,7.52e-06,0.0589,0.716,126.975,4.0,alt-rock
Rammstein,Deutschland,Deutschland,60.0,322339.0,False,0.521,0.895,7.0,-5.242,1.0,0.0442,5.54e-05,0.349,0.0985,0.237,120.117,4.0,industrial
Martin Garrix;Troye Sivan,There for You,There for You,69.0,221904.0,False,0.611,0.644,6.0,-7.607,0.0,0.0553,0.124,0.0,0.124,0.13,105.969,4.0,edm
Arijit Singh;B Praak,"Pachtaoge (From ""Jaani Ve"")","Pachtaoge (From ""Jaani Ve"")",65.0,226789.0,False,0.515,0.691,5.0,-4.028,0.0,0.0344,0.624,0.0,0.121,0.484,169.521,3.0,pop-film
Hillsong Worship;TAYA,No Other Name,Broken Vessels (Amazing Grace),63.0,568791.0,False,0.379,0.489,7.0,-7.051,1.0,0.0281,0.293,8.83e-06,0.721,0.0871,140.937,4.0,world-music
Swedish House Mafia;Connie Constance,Paradise Again,Heaven Takes You Home (feat. Connie Constance),79.0,214071.0,False,0.665,0.738,0.0,-5.931,0.0,0.0379,0.0124,0.00598,0.0923,0.0389,125.037,4.0,edm
Zaeden;Hanita Bhambri,Genesis 1:1,KTMBK,60.0,154434.0,False,0.898,0.435,6.0,-8.834,1.0,0.0489,0.555,0.0,0.139,0.836,115.034,4.0,edm
XXXTENTACION;Lil Pump;Swae Lee;Maluma,Arms Around You (feat. Maluma & Swae Lee),Arms Around You (feat. Maluma & Swae Lee),70.0,198902.0,True,0.703,0.723,9.0,-5.45,0.0,0.0412,0.0302,2.06e-06,0.126,0.288,104.969,4.0,emo
Ingrid Andress,Lady Like,More Hearts Than Mine,68.0,214786.0,False,0.375,0.428,0.0,-7.387,1.0,0.029,0.109,0.0,0.105,0.361,78.516,4.0,country
Tanishk Bagchi;Gippy Grewal;Zahrah S Khan;Romy;Abrar Ul Haq,"The Punjaabban Song (From ""Jugjugg Jeeyo"")","The Punjaabban Song (From ""Jugjugg Jeeyo"")",70.0,199029.0,False,0.779,0.964,10.0,-2.888,0.0,0.0995,0.0858,1.46e-05,0.676,0.613,139.241,4.0,pop
XXXTENTACION,SKINS,Guardian angel,65.0,108034.0,True,0.712,0.374,0.0,-10.215,0.0,0.511,0.795,0.0,0.187,0.779,133.952,4.0,emo
BTS,Proof,Life Goes On,62.0,208088.0,False,0.576,0.698,1.0,-6.544,1.0,0.0369,0.00848,0.0,0.367,0.462,81.028,4.0,k-pop
Tenno,Mind Temple,A New Beginning,60.0,179016.0,False,0.312,0.315,5.0,-15.185,0.0,0.0522,0.922,0.908,0.117,0.198,122.008,4.0,chill
Anirudh Ravichander;Yuvan Shankar Raja,Master (Original Motion Picture Soundtrack),Andha Kanna Paathaakaa,62.0,194500.0,False,0.747,0.86,6.0,-4.071,0.0,0.279,0.301,0.0383,0.0743,0.625,90.445,4.0,hip-hop
Fall Out Boy,Save Rock And Roll,My Songs Know What You Did In The Dark (Light Em Up),73.0,186826.0,False,0.558,0.924,9.0,-4.341,0.0,0.064,0.0271,3.32e-06,0.537,0.567,151.99,4.0,emo
Anne-Marie;Niall Horan,Our Song,Our Song,69.0,163733.0,False,0.595,0.759,11.0,-4.245,0.0,0.0423,0.141,0.0,0.172,0.515,80.953,4.0,house
Vendredi sur Mer,Premiers émois,Écoute Chérie,64.0,224933.0,False,0.607,0.647,7.0,-7.17,0.0,0.0452,0.138,0.00102,0.255,0.689,92.915,4.0,french
Sufjan Stevens,Seven Swans,To Be Alone With You,61.0,168040.0,False,0.519,0.163,0.0,-18.131,0.0,0.0489,0.926,0.751,0.115,0.356,142.119,4.0,singer-songwriter
Jodi Benson;Disney,The Little Mermaid,"Part of Your World - From ""The Little Mermaid"" / Soundtrack Version",60.0,195493.0,False,0.387,0.132,5.0,-15.142,1.0,0.0386,0.914,0.000707,0.281,0.323,100.0,4.0,disney
Maluma,Mala Mía,Mala Mía,66.0,183752.0,False,0.749,0.752,6.0,-4.883,1.0,0.345,0.31,0.0,0.232,0.901,180.049,4.0,latino
Mushroomhead,XIII,Sun Doesn't Rise,61.0,193813.0,False,0.376,0.988,5.0,-2.375,1.0,0.216,8.82e-05,6.36e-05,0.346,0.507,192.153,4.0,groove
Marc Anthony;Will Smith;Bad Bunny,Está Rico,Está Rico,66.0,215151.0,False,0.817,0.74,11.0,-4.566,0.0,0.283,0.266,0.0,0.0992,0.674,130.04,4.0,salsa
Future,FUTURE,Mask Off,83.0,204600.0,True,0.833,0.434,2.0,-8.795,1.0,0.431,0.0102,0.0219,0.165,0.281,150.062,4.0,hip-hop
HYBS,Ride,Ride,67.0,181622.0,False,0.757,0.393,5.0,-7.942,1.0,0.212,0.788,0.000986,0.0501,0.715,77.985,4.0,chill
The Velvet Underground,The Velvet Underground (45th Anniversary),After Hours,60.0,127453.0,False,0.608,0.152,7.0,-20.989,0.0,0.172,0.836,0.0,0.182,0.472,120.834,4.0,psych-rock
Iron & Wine,The Shepherd's Dog,"Flightless Bird, American Mouth",69.0,241917.0,False,0.369,0.403,3.0,-7.996,1.0,0.0259,0.827,0.0541,0.106,0.177,154.899,3.0,folk
Backstreet Boys,Millennium,I Want It That Way,81.0,213306.0,False,0.689,0.694,6.0,-5.83,0.0,0.027,0.257,0.0,0.148,0.482,99.039,4.0,dance
Anne-Marie;Little Mix,Therapy,Kiss My (Uh Oh),71.0,176800.0,False,0.638,0.878,5.0,-3.639,0.0,0.0484,0.0151,0.000223,0.308,0.481,103.948,4.0,house
Camilo,Pegao,Pegao,74.0,160733.0,False,0.807,0.499,1.0,-4.733,0.0,0.0616,0.162,0.0,0.104,0.867,90.037,4.0,reggaeton
The Beatles,Taxman (2022 Mix),Taxman - 2022 Mix,60.0,158266.0,False,0.493,0.762,7.0,-6.114,1.0,0.147,0.00216,0.0,0.713,0.708,133.227,4.0,british
Ricky Rich;Dardan;DJ Gimi-O,Habibi (Albanian Remix),Habibi - Albanian Remix,76.0,129589.0,False,0.639,0.728,4.0,-7.065,0.0,0.0301,0.0223,0.00384,0.68,0.0996,103.966,4.0,pop
Bazzi,Soul Searching,I.F.L.Y.,74.0,165714.0,True,0.812,0.519,2.0,-4.823,1.0,0.0385,0.379,0.0,0.13,0.554,104.954,4.0,electro
Travis Scott;HVME,Goosebumps (Remix),Goosebumps - Remix,81.0,162802.0,True,0.841,0.593,1.0,-7.846,1.0,0.0379,0.418,0.0,0.124,0.808,124.917,4.0,hip-hop
A.R. Rahman;Sid Sriram;Sunitha Sarathy,I (Original Motion Picture Soundtrack),Ennodu Nee Irundhaal,68.0,352710.0,False,0.261,0.603,0.0,-6.733,1.0,0.0367,0.558,0.0,0.184,0.207,158.125,4.0,pop-film
Arctic Monkeys,Suck It and See,Love is a Laserquest,65.0,191426.0,False,0.349,0.662,11.0,-6.873,1.0,0.0402,0.00197,0.908,0.136,0.554,169.926,4.0,garage
Two Feet,Love Is a Bitch,Love Is a Bitch,76.0,181466.0,True,0.532,0.178,9.0,-9.754,0.0,0.0541,0.614,0.14,0.0985,0.103,149.879,3.0,indie-pop
Bad Bunny;Daddy Yankee,YHLQMDLG,La Santa,84.0,206420.0,True,0.744,0.868,1.0,-4.524,1.0,0.047,0.0326,0.0,0.0822,0.586,93.037,4.0,latino
Tiësto;Dzeko;Preme;Post Malone,Jackie Chan,Jackie Chan,72.0,215759.0,True,0.747,0.834,3.0,-2.867,0.0,0.045,0.374,0.0,0.0586,0.687,128.005,4.0,edm
Dom Dolla,Take It,Take It,63.0,234440.0,False,0.851,0.742,0.0,-6.126,1.0,0.0377,0.0259,0.256,0.111,0.236,123.033,4.0,deep-house
Pritam;Arijit Singh;Shilpa Rao,"Tere Hawaale (From ""Laal Singh Chaddha"")","Tere Hawaale (From ""Laal Singh Chaddha"")",67.0,346290.0,False,0.589,0.522,9.0,-10.649,1.0,0.0391,0.642,2.74e-05,0.0992,0.31,109.094,4.0,indian
Ellie Goulding,Halcyon Days,Burn,71.0,231211.0,False,0.559,0.777,1.0,-5.031,1.0,0.0432,0.31,0.0,0.105,0.329,87.016,4.0,edm
Alan Walker,Different World,Sing Me to Sleep,66.0,187800.0,False,0.474,0.622,4.0,-6.381,0.0,0.061,0.0129,3.82e-06,0.327,0.158,176.062,4.0,electro
Estopa,Estopa,Por la Raja de Tu Falda,63.0,202826.0,False,0.759,0.722,9.0,-9.906,0.0,0.0765,0.323,0.0,0.719,0.928,97.518,4.0,spanish
The Bangles,Different Light,Walk Like an Egyptian,62.0,204560.0,False,0.711,0.788,11.0,-14.705,1.0,0.0825,0.0117,2.05e-06,0.311,0.757,103.172,4.0,synth-pop
BTS,FACE YOURSELF,Don't Leave Me,64.0,227413.0,False,0.62,0.778,8.0,-4.622,0.0,0.0724,0.116,0.0,0.312,0.386,147.012,4.0,k-pop
Barry White,Can't Get Enough,"Can't Get Enough Of Your Love, Babe",68.0,274000.0,False,0.729,0.78,5.0,-7.604,1.0,0.0631,0.114,0.106,0.0759,0.795,111.833,4.0,disco
Slayer,Reign In Blood (Expanded),Raining Blood,65.0,255186.0,False,0.227,0.995,10.0,-4.361,0.0,0.173,0.000405,0.393,0.127,0.0363,87.499,4.0,death-metal
Mudvayne,Lost and Found,Happy?,69.0,216426.0,True,0.546,0.97,5.0,-2.661,0.0,0.097,0.000823,2.08e-05,0.275,0.383,100.065,4.0,groove
COIN,How Will You Know If You Never Try,Talk Too Much,72.0,187133.0,False,0.598,0.888,4.0,-5.119,1.0,0.0807,0.00947,0.0,0.347,0.482,103.966,4.0,indie-pop
Yann Tiersen,Le Fabuleux destin d'Amélie Poulain (Bande originale du film),La Valse d'Amélie - Version piano,64.0,158666.0,False,0.194,0.179,9.0,-16.834,0.0,0.0422,0.988,0.866,0.0819,0.179,177.694,3.0,ambient
Pantera,Cowboys from Hell,Domination,65.0,305293.0,True,0.372,0.888,2.0,-5.88,1.0,0.0943,0.000211,0.00442,0.115,0.555,141.374,4.0,groove
Horizon Blue;Music Travel Love,Have You Ever Seen The Rain,Have You Ever Seen The Rain,60.0,154606.0,False,0.721,0.519,8.0,-7.407,1.0,0.0324,0.439,0.0,0.134,0.531,124.171,4.0,french
Nickelback,All the Right Reasons,Far Away,73.0,238173.0,False,0.518,0.797,6.0,-5.153,1.0,0.0309,0.000681,0.0,0.107,0.293,132.918,4.0,alt-rock
Brent Morgan,Gonna Be Okay,Gonna Be Okay,65.0,210165.0,True,0.609,0.506,11.0,-8.902,1.0,0.0292,0.0204,0.0,0.102,0.364,77.427,4.0,singer-songwriter
Natalia Jiménez,Creo en Mi,Creo en Mi,72.0,229373.0,False,0.496,0.57,5.0,-6.053,1.0,0.0279,0.291,0.0,0.105,0.239,79.845,4.0,spanish
Red Hot Chili Peppers,The Getaway,Dark Necessities,74.0,302000.0,False,0.7,0.742,5.0,-6.777,0.0,0.0716,0.0722,0.0199,0.11,0.197,91.959,4.0,alt-rock
ZZ Top,Tres Hombres (Expanded 2006 Remaster),La Grange - 2005 Remaster,77.0,230480.0,False,0.545,0.64,4.0,-9.937,0.0,0.224,0.00249,0.0304,0.196,0.606,80.544,4.0,blues
Axel Flóvent,Forest Fires,Forest Fires,63.0,210924.0,False,0.64,0.295,7.0,-12.255,0.0,0.0299,0.701,1.08e-05,0.121,0.152,117.967,4.0,folk
Arijit Singh;Nikhita Gandhi,Kedarnath,Qaafirana,71.0,341823.0,False,0.417,0.433,4.0,-8.958,1.0,0.0415,0.0726,0.0,0.123,0.207,169.92,4.0,pop-film
The Notorious B.I.G.;Mase;Diddy,Life After Death (2014 Remastered Edition),Mo Money Mo Problems (feat. Puff Daddy & Mase) - 2014 Remaster,75.0,257399.0,True,0.845,0.884,6.0,-4.506,0.0,0.0759,0.0128,2.1e-06,0.203,0.904,104.536,4.0,hardcore
Bobby Darin,That's All,Mack the Knife,62.0,184333.0,False,0.549,0.529,3.0,-12.291,0.0,0.108,0.76,0.0,0.206,0.464,82.755,4.0,rockabilly
Lil Tjay,True 2 Myself,Leaked,71.0,220240.0,True,0.51,0.619,7.0,-7.918,1.0,0.281,0.801,0.0,0.0811,0.321,97.018,4.0,r-n-b
iamjakehill,Solace,Stay,67.0,185070.0,True,0.634,0.658,7.0,-8.537,0.0,0.314,0.814,0.0,0.134,0.86,166.05,4.0,emo
Queen,A Night At The Opera (2011 Remaster),Bohemian Rhapsody - Remastered 2011,82.0,354320.0,False,0.414,0.404,0.0,-9.928,0.0,0.0499,0.271,0.0,0.3,0.224,71.105,4.0,rock
Okieriete Onaodowan;Daveed Diggs;Lin-Manuel Miranda;Leslie Odom Jr.;Anthony Ramos,Hamilton (Original Broadway Cast Recording),The Story of Tonight - Reprise,63.0,115879.0,True,0.724,0.305,5.0,-12.763,0.0,0.257,0.68,0.0,0.128,0.594,81.874,4.0,show-tunes
Keane,Strangeland,Silenced By The Night,60.0,196466.0,False,0.515,0.809,1.0,-5.051,1.0,0.0288,0.00188,9.86e-06,0.0983,0.237,111.985,4.0,piano
Drake;Wizkid;Kyla,Views,One Dance,85.0,173986.0,False,0.792,0.625,1.0,-5.609,1.0,0.0536,0.00776,0.0018,0.329,0.37,103.967,4.0,hip-hop
The Libertines,Don't Look Back into the Sun,Don't Look Back into the Sun,64.0,180266.0,False,0.211,0.849,0.0,-3.994,0.0,0.116,0.00605,0.000436,0.263,0.59,175.616,4.0,garage
Timmies;Shiloh Dynasty,Passion & Confusion,Soft Skin,62.0,117747.0,False,0.901,0.108,0.0,-19.516,0.0,0.129,0.844,0.00473,0.108,0.716,106.044,4.0,chill
Nawab,Expert Jatt,Expert Jatt,65.0,199534.0,False,0.765,0.948,6.0,-2.816,0.0,0.199,0.298,0.0,0.0784,0.647,172.038,4.0,pop
Nirvana,Nevermind (Remastered),Smells Like Teen Spirit,83.0,301920.0,False,0.502,0.912,1.0,-4.556,1.0,0.0564,2.55e-05,0.000173,0.106,0.72,116.761,4.0,alt-rock
Anthony Keyrouz;Glaceo,Last Melody,Last Melody,66.0,148396.0,False,0.671,0.826,8.0,-5.808,1.0,0.322,0.344,0.0,0.184,0.418,131.085,4.0,electronic
Deorro,Five Hours,Five Hours,61.0,326887.0,False,0.88,0.821,5.0,-2.545,0.0,0.118,0.0197,0.661,0.234,0.575,127.907,4.0,progressive-house
Dan + Shay,Good Things,Good Things,63.0,148906.0,False,0.529,0.621,11.0,-6.018,1.0,0.0296,0.13,0.0,0.173,0.617,97.189,4.0,country
Nakash Aziz,Pushpa - The Rise,Eyy Bidda Idhi Naa Adda,61.0,236057.0,False,0.728,0.861,0.0,-5.852,1.0,0.165,0.2,0.00106,0.0256,0.662,87.467,4.0,pop-film
The Notorious B.I.G.,Greatest Hits,Juicy - 2007 Remaster,61.0,301466.0,True,0.873,0.816,9.0,-4.645,1.0,0.256,0.483,0.0,0.146,0.79,96.067,4.0,hardcore
Ty Dolla $ign;Post Malone,Featuring Ty Dolla $ign,Spicy (feat. Post Malone),74.0,143375.0,True,0.782,0.51,4.0,-5.724,0.0,0.0419,0.143,0.0,0.115,0.118,99.993,4.0,soul
moow;Lotte Kestner,I Can't Tell You How Much It Hurts,Wake Up,61.0,82800.0,False,0.822,0.107,1.0,-13.824,1.0,0.0862,0.882,0.861,0.084,0.622,77.467,4.0,chill
R. City;Adam Levine,What Dreams Are Made Of,Locked Away (feat. Adam Levine),78.0,227480.0,False,0.509,0.671,1.0,-5.709,1.0,0.0678,0.304,0.0,0.0452,0.55,118.413,5.0,reggae
BTS,The Most Beautiful Moment in Life: Young Forever,House of Cards - Full Length Edition,69.0,226212.0,False,0.367,0.668,2.0,-4.484,0.0,0.052,0.336,0.0,0.147,0.384,104.961,4.0,k-pop
Chani Nattan;Inderpal Moga,Daku,Daku,75.0,131077.0,False,0.847,0.558,8.0,-5.855,0.0,0.0663,0.325,0.0,0.135,0.495,98.062,4.0,hip-hop
Charmaine D'Avis,Dans le noir,Dans le noir,68.0,178500.0,False,0.132,0.00735,0.0,-37.541,1.0,0.0494,0.953,0.864,0.103,0.0564,73.273,5.0,sleep
XXXTENTACION,LOOK AT ME: THE ALBUM,King Of The Dead,67.0,219560.0,True,0.344,0.309,4.0,-9.26,0.0,0.0545,0.0444,0.0111,0.0929,0.0398,97.899,4.0,emo
Maluma,11:11,HP,72.0,184435.0,True,0.837,0.791,4.0,-3.157,0.0,0.0773,0.252,1.14e-06,0.188,0.618,91.98,4.0,latino
HRVY;Matoma,Good Vibes,Good Vibes,71.0,170280.0,False,0.558,0.877,10.0,-3.392,1.0,0.145,0.274,0.0,0.162,0.762,99.988,4.0,house
